entity,operation,n_objects,run_index,duration_ms,mem_bytes,cpu_load,timestamp
categories,create,10,1,28.283,68681728,2.1162,2025-11-27T15:32:22.482Z
categories,create,10,1,17.260,70205440,1.6587,2025-11-27T15:36:45.889Z
categories,update,10,1,7.821,71712768,1.6587,2025-11-27T15:36:45.898Z
categories,delete,10,1,7.348,72925184,1.6587,2025-11-27T15:36:45.906Z
categories,create,10,2,9.421,74219520,1.6587,2025-11-27T15:36:46.522Z
categories,update,10,2,7.195,74153984,1.6587,2025-11-27T15:36:46.530Z
categories,delete,10,2,4.922,74219520,1.6587,2025-11-27T15:36:46.535Z
categories,create,10,3,17.953,74285056,1.6587,2025-11-27T15:36:47.159Z
categories,update,10,3,9.643,74465280,1.6587,2025-11-27T15:36:47.169Z
categories,delete,10,3,6.669,74481664,1.6587,2025-11-27T15:36:47.176Z
categories,create,10,4,16.403,74498048,1.5254,2025-11-27T15:36:47.798Z
categories,update,10,4,9.396,74498048,1.5254,2025-11-27T15:36:47.808Z
categories,delete,10,4,5.762,74563584,1.5254,2025-11-27T15:36:47.814Z
categories,create,10,5,17.884,74563584,1.5254,2025-11-27T15:36:48.437Z
categories,update,10,5,10.204,74629120,1.5254,2025-11-27T15:36:48.448Z
categories,delete,10,5,6.593,74661888,1.5254,2025-11-27T15:36:48.455Z
categories,create,50,1,45.082,75005952,1.5254,2025-11-27T15:36:49.106Z
categories,update,50,1,25.287,76005376,1.5254,2025-11-27T15:36:49.132Z
categories,delete,50,1,17.452,76922880,1.5254,2025-11-27T15:36:49.150Z
categories,create,50,2,40.719,79839232,1.5254,2025-11-27T15:36:49.795Z
categories,update,50,2,21.163,80707584,1.5254,2025-11-27T15:36:49.816Z
categories,delete,50,2,17.851,83853312,1.5254,2025-11-27T15:36:49.834Z
categories,create,50,3,47.136,96337920,1.5254,2025-11-27T15:36:50.486Z
categories,update,50,3,21.663,99876864,1.5254,2025-11-27T15:36:50.508Z
categories,delete,50,3,16.792,99909632,1.5254,2025-11-27T15:36:50.525Z
categories,create,50,4,43.280,99909632,1.5254,2025-11-27T15:36:51.175Z
categories,update,50,4,22.072,99942400,1.5254,2025-11-27T15:36:51.198Z
categories,delete,50,4,16.941,100024320,1.5254,2025-11-27T15:36:51.215Z
categories,create,50,5,51.832,100171776,1.5254,2025-11-27T15:36:51.873Z
categories,update,50,5,23.403,100171776,1.5254,2025-11-27T15:36:51.897Z
categories,delete,50,5,16.199,100253696,1.5254,2025-11-27T15:36:51.913Z
categories,create,100,1,68.739,100876288,1.5254,2025-11-27T15:36:52.588Z
categories,update,100,1,36.522,102072320,1.5254,2025-11-27T15:36:52.625Z
categories,delete,100,1,30.336,102825984,1.5254,2025-11-27T15:36:52.655Z
categories,create,100,2,68.365,104710144,1.4829,2025-11-27T15:36:53.330Z
categories,update,100,2,36.302,106020864,1.4829,2025-11-27T15:36:53.366Z
categories,delete,100,2,31.016,111296512,1.4829,2025-11-27T15:36:53.398Z
categories,create,100,3,66.696,112197632,1.4829,2025-11-27T15:36:54.069Z
categories,update,100,3,35.575,117571584,1.4829,2025-11-27T15:36:54.105Z
categories,delete,100,3,30.735,118620160,1.4829,2025-11-27T15:36:54.136Z
categories,create,100,4,66.775,118636544,1.4829,2025-11-27T15:36:54.808Z
categories,update,100,4,34.824,118751232,1.4829,2025-11-27T15:36:54.843Z
categories,delete,100,4,29.830,118751232,1.4829,2025-11-27T15:36:54.873Z
categories,create,100,5,70.902,119488512,1.4829,2025-11-27T15:36:55.550Z
categories,update,100,5,34.291,119685120,1.4829,2025-11-27T15:36:55.584Z
categories,delete,100,5,30.770,120995840,1.4829,2025-11-27T15:36:55.615Z
categories,create,200,1,103.970,122437632,1.4829,2025-11-27T15:36:56.325Z
categories,update,200,1,66.125,122437632,1.4829,2025-11-27T15:36:56.391Z
categories,delete,200,1,64.603,122470400,1.4829,2025-11-27T15:36:56.456Z
categories,create,200,2,100.893,122486784,1.4829,2025-11-27T15:36:57.163Z
categories,update,200,2,71.097,124583936,1.4829,2025-11-27T15:36:57.234Z
categories,delete,200,2,71.271,125403136,1.4829,2025-11-27T15:36:57.306Z
categories,create,200,3,107.543,135413760,1.6040,2025-11-27T15:36:58.020Z
categories,update,200,3,68.352,138051584,1.6040,2025-11-27T15:36:58.088Z
categories,delete,200,3,64.322,145375232,1.6040,2025-11-27T15:36:58.153Z
categories,create,200,4,92.873,149864448,1.6040,2025-11-27T15:36:58.852Z
categories,update,200,4,65.274,149880832,1.6040,2025-11-27T15:36:58.917Z
categories,delete,200,4,64.415,150585344,1.6040,2025-11-27T15:36:58.982Z
categories,create,200,5,96.671,150585344,1.6040,2025-11-27T15:36:59.685Z
categories,update,200,5,65.146,150585344,1.6040,2025-11-27T15:36:59.750Z
categories,delete,200,5,64.705,150601728,1.6040,2025-11-27T15:36:59.815Z
