entity,operation,n_objects,run_index,duration_ms,mem_bytes,cpu_load,timestamp
todos,create,10,1,39.461,69058560,2.2246,2025-11-27T15:32:13.225Z
todos,create,10,1,23.785,69124096,1.8257,2025-11-27T15:36:23.023Z
todos,update,10,1,12.094,70533120,1.8257,2025-11-27T15:36:23.036Z
todos,delete,10,1,9.753,71827456,1.8257,2025-11-27T15:36:23.046Z
todos,create,10,2,23.405,73334784,1.8257,2025-11-27T15:36:23.678Z
todos,update,10,2,10.699,73465856,1.8257,2025-11-27T15:36:23.689Z
todos,delete,10,2,8.314,73580544,1.8257,2025-11-27T15:36:23.697Z
todos,create,10,3,23.702,73875456,1.8257,2025-11-27T15:36:24.332Z
todos,update,10,3,10.747,73908224,1.8257,2025-11-27T15:36:24.343Z
todos,delete,10,3,9.063,73940992,1.8257,2025-11-27T15:36:24.352Z
todos,create,10,4,21.319,73957376,1.8257,2025-11-27T15:36:24.982Z
todos,update,10,4,11.220,73957376,1.8257,2025-11-27T15:36:24.993Z
todos,delete,10,4,9.047,74137600,1.8257,2025-11-27T15:36:25.003Z
todos,create,10,5,23.359,74301440,1.8257,2025-11-27T15:36:25.636Z
todos,update,10,5,11.029,74317824,1.8257,2025-11-27T15:36:25.647Z
todos,delete,10,5,8.553,74334208,1.8257,2025-11-27T15:36:25.656Z
todos,create,50,1,62.527,74612736,1.8257,2025-11-27T15:36:26.327Z
todos,update,50,1,32.662,75415552,1.8257,2025-11-27T15:36:26.360Z
todos,delete,50,1,28.486,76300288,1.8257,2025-11-27T15:36:26.388Z
todos,create,50,2,55.306,79347712,1.8257,2025-11-27T15:36:27.051Z
todos,update,50,2,29.803,80297984,1.8257,2025-11-27T15:36:27.081Z
todos,delete,50,2,25.899,84049920,1.8257,2025-11-27T15:36:27.108Z
todos,create,50,3,56.118,97091584,1.8394,2025-11-27T15:36:27.772Z
todos,update,50,3,28.110,97599488,1.8394,2025-11-27T15:36:27.801Z
todos,delete,50,3,23.483,97615872,1.8394,2025-11-27T15:36:27.824Z
todos,create,50,4,48.811,97665024,1.8394,2025-11-27T15:36:28.482Z
todos,update,50,4,26.336,97697792,1.8394,2025-11-27T15:36:28.508Z
todos,delete,50,4,23.660,97714176,1.8394,2025-11-27T15:36:28.532Z
todos,create,50,5,36.249,97878016,1.8394,2025-11-27T15:36:29.176Z
todos,update,50,5,24.309,97943552,1.8394,2025-11-27T15:36:29.201Z
todos,delete,50,5,21.935,97959936,1.8394,2025-11-27T15:36:29.223Z
todos,create,100,1,79.540,98533376,1.8394,2025-11-27T15:36:29.910Z
todos,update,100,1,44.546,99893248,1.8394,2025-11-27T15:36:29.955Z
todos,delete,100,1,35.734,100646912,1.8394,2025-11-27T15:36:29.991Z
todos,create,100,2,71.061,102449152,1.8394,2025-11-27T15:36:30.669Z
todos,update,100,2,41.599,104120320,1.8394,2025-11-27T15:36:30.711Z
todos,delete,100,2,35.396,109428736,1.8394,2025-11-27T15:36:30.747Z
todos,create,100,3,66.316,110395392,1.8394,2025-11-27T15:36:31.420Z
todos,update,100,3,38.024,115736576,1.8394,2025-11-27T15:36:31.458Z
todos,delete,100,3,32.277,115736576,1.8394,2025-11-27T15:36:31.490Z
todos,create,100,4,65.375,115736576,1.8394,2025-11-27T15:36:32.163Z
todos,update,100,4,37.266,115785728,1.8394,2025-11-27T15:36:32.200Z
todos,delete,100,4,32.541,116736000,1.8394,2025-11-27T15:36:32.233Z
todos,create,100,5,67.150,117096448,1.6919,2025-11-27T15:36:32.906Z
todos,update,100,5,36.258,117407744,1.6919,2025-11-27T15:36:32.943Z
todos,delete,100,5,34.811,118554624,1.6919,2025-11-27T15:36:32.978Z
todos,create,200,1,100.520,119947264,1.6919,2025-11-27T15:36:33.685Z
todos,update,200,1,70.105,119947264,1.6919,2025-11-27T15:36:33.755Z
todos,delete,200,1,66.056,119947264,1.6919,2025-11-27T15:36:33.821Z
todos,create,200,2,97.117,119996416,1.6919,2025-11-27T15:36:34.522Z
todos,update,200,2,76.858,122175488,1.6919,2025-11-27T15:36:34.599Z
todos,delete,200,2,68.240,122175488,1.6919,2025-11-27T15:36:34.667Z
todos,create,200,3,97.402,132366336,1.6919,2025-11-27T15:36:35.372Z
todos,update,200,3,66.047,134758400,1.6919,2025-11-27T15:36:35.438Z
todos,delete,200,3,63.056,142835712,1.6919,2025-11-27T15:36:35.501Z
todos,create,200,4,99.384,147062784,1.6919,2025-11-27T15:36:36.207Z
todos,update,200,4,71.947,147079168,1.6919,2025-11-27T15:36:36.279Z
todos,delete,200,4,68.794,147226624,1.6919,2025-11-27T15:36:36.348Z
todos,create,200,5,93.767,147243008,1.6919,2025-11-27T15:36:37.048Z
todos,update,200,5,67.922,147259392,1.6919,2025-11-27T15:36:37.116Z
todos,delete,200,5,66.139,147619840,1.6919,2025-11-27T15:36:37.182Z
